Benchmark,Form
check_equal_set_flag_0,$\exists$
collect_indices_equal_values_2,$\forall(\mathit{exp}\Rightarrow\exists)$
collect_indices_equal_values_3,$\forall(\mathit{exp}\Rightarrow\exists)$
copy_cust0,$\forall\exists$
copy_nonzero_1,$\forall\exists$
copy_positive_1,$\forall\exists$
cust_swap,$\forall\exists$
find1_3,$\exists$
find1_2,$\mathit{exp}\Rightarrow\exists$
find2_3,$\mathit{exp}\Rightarrow\exists$
find_max_1,$\exists\Rightarrow\exists$
find_max_local_0,$\forall(\forall\Rightarrow\exists)$
find_max_local_1,$\forall\exists$
find_max_up_to_1,$\forall\exists$
find_max_from_second_1,$\mathit{exp}\Rightarrow\exists$
find_min_1,$\exists\Rightarrow\exists$
find_min_local_0,$\forall(\forall\Rightarrow\exists)$
find_min_local_1,$\forall\exists$
find_min_up_to_1,$\forall\exists$
cust_init_add,$\forall\exists$
merge_interleave_2,$\forall\exists$
nonseq_0,$\forall\exists$
nonseq_1,$\forall\exists$
partition-harder_0,$\forall\exists$
partition-harder_1,$\forall\exists$
partition-harder_2,$\forall(\mathit{exp}\Rightarrow\exists)$
partition-harder_3,$\forall(\mathit{exp}\Rightarrow\exists)$
partition-harder_4,$\forall\exists$
partition-harder_5,$\forall\exists$
partition_2,$\forall\exists$
partition_3,$\forall\exists$
partition_4,$\forall(\mathit{exp}\Rightarrow\exists)$
partition_5,$\forall(\mathit{exp}\Rightarrow\exists)$
partition_6,$\forall\exists$
str_len_0,$\exists\Rightarrow\forall$
